run_date,commit,model,P@10,P@20,R@10,R@20,NDCG@10,NDCG@20,MAP@10,MAP@20,infer_ms,train_s,n_eval_users,n_users,n_items,n_train_interactions,n_test_interactions,device
2026-08-30,9c33b17,Content-Based (TF-IDF),0.0030,0.0025,0.0050,0.0069,0.0037,0.0045,,,2.3420,0.0000,300,131351,26461,5984633,1561736,cpu
2026-08-30,9c33b17,SVD,0.1387,0.1047,0.1766,0.2539,0.2137,0.2273,,,0.0730,4.1857,300,131351,26461,5984633,1561736,cpu
2026-08-30,9c33b17,LightFM Collab,0.1490,0.1163,0.1760,0.2709,0.2178,0.2374,,,1.6985,36.2552,300,131351,26461,5984633,1561736,cpu
2026-08-30,9c33b17,LightFM Hybrid,0.1440,0.1123,0.1652,0.2505,0.2038,0.2196,,,2.5621,99.8876,300,131351,26461,5984633,1561736,cpu
2026-08-30,9c33b17,LightGCN,0.1133,0.0883,0.1393,0.2162,0.1592,0.1760,,,0.1001,3310.6969,300,131351,26461,5984633,1561736,cuda (Tesla T4)
2026-08-30,b5c81ce,Content-Based (TF-IDF),0.0030,0.0025,0.0050,0.0069,0.0037,0.0045,0.0012,0.0013,3.0494,0.0000,300,131351,26461,5984633,1561736,cpu
2026-08-30,b5c81ce,SVD,0.1387,0.1047,0.1766,0.2539,0.2137,0.2273,0.1237,0.1181,0.1177,4.8997,300,131351,26461,5984633,1561736,cpu
2026-08-30,b5c81ce,LightFM Collab,0.1510,0.1180,0.1857,0.2726,0.2177,0.2353,0.1254,0.1226,2.0486,41.1121,300,131351,26461,5984633,1561736,cpu
2026-08-30,b5c81ce,LightFM Hybrid,0.1410,0.1127,0.1559,0.2512,0.2025,0.2219,0.1201,0.1154,3.0183,108.4321,300,131351,26461,5984633,1561736,cpu
2026-08-30,b5c81ce,LightGCN,0.0173,0.0177,0.0108,0.0289,0.0192,0.0241,0.0072,0.0066,12.6708,13051.5278,300,131351,26461,5984633,1561736,cuda (Tesla T4)
